Preke	2014M01	2014M02	2014M03	2014M04	2014M05	2014M06	2014M07	2014M08	2014M09	2014M10	2014M11	2014M12	2016M01	2016M02	2016M03	2016M04	2016M05	2016M06	2016M07	2016M08	2016M09	2016M10	2016M11	2016M12
Ryžiai, kg	1	1.02	1	1	1	1	1	1	0.99	1.02	1.03	1.01	1.03	1.07	1.07	1.05	1.07	1.06	1.04	1.07	1.04	1.04	1.08	1.06
Aukščiausios rūšies kvietiniai miltai (kg)	0.69	0.72	0.7	0.7	0.71	0.7	0.7	0.71	0.7	0.69	0.68	0.68	0.69	0.68	0.68	0.66	0.68	0.69	0.68	0.68	0.68	0.69	0.68	0.65
Grikių kruopos, kg	1.57	1.56	1.52	1.54	1.49	1.53	1.51	1.55	1.52	1.55	1.53	1.5	1.95	1.96	1.85	1.98	2.01	2.02	2.04	2.05	2.02	2.04	2	2.04
Duona ruginių miltų pagrindu (kg)	1.45	1.47	1.47	1.49	1.49	1.48	1.46	1.45	1.48	1.49	1.49	1.5	1.48	1.46	1.48	1.49	1.49	1.48	1.48	1.51	1.5	1.51	1.53	1.54
Batonas iš kvietinių miltų, kg	1.64	1.58	1.62	1.58	1.62	1.61	1.62	1.64	1.63	1.56	1.65	1.63	1.61	1.63	1.58	1.54	1.59	1.58	1.63	1.64	1.59	1.63	1.58	1.6
Makaronai iš kvietinių miltų, 500 g	0.7	0.7	0.7	0.7	0.68	0.67	0.69	0.69	0.7	0.67	0.7	0.72	0.7	0.7	0.71	0.7	0.69	0.7	0.69	0.73	0.74	0.73	0.73	0.73
Jautienos kumpis su kaulu,  kg	5.18	5.2	5.3	5.3	5.28	5.22	5.25	5.18	5.22	5.12	5.12	5.12	4.9	4.9	4.9	4.85	4.87	4.87	4.89	4.89	4.9	5.02	5.04	5.11
Malta kiauliena, kg	3.18	3.17	3.18	3.15	3.17	3.11	3.15	3.14	3.14	3.13	3.11	3.13	2.93	2.91	2.92	2.94	2.85	2.88	2.93	2.94	2.93	2.94	2.9	2.97
Kiaulienos kumpis be kaulo, kg	3.8	3.79	3.77	3.79	3.75	3.74	3.76	3.75	3.75	3.75	3.72	3.73	3.59	3.59	3.57	3.58	3.56	3.55	3.55	3.58	3.58	3.58	3.59	3.58
Viščiukai broileriai (kg)	2.58	2.52	2.57	2.55	2.56	2.57	2.59	2.58	2.55	2.5	2.48	2.48	2.37	2.36	2.37	2.35	2.36	2.36	2.34	2.34	2.34	2.32	2.31	2.33
Sūdyta silkių filė, kg	3.74	3.74	3.76	3.73	3.77	3.77	3.78	3.77	3.74	3.78	3.72	3.68	3.73	3.76	3.77	3.8	3.81	3.83	3.81	3.87	3.89	3.93	4.02	4.13
Šaldyta jūrų lydekų filė, kg	4.38	4.39	4.36	4.39	4.36	4.39	4.42	4.28	4.36	4.38	4.34	4.34	4.8	4.93	4.76	4.94	5.04	5.01	5.1	5.15	5.1	5.12	5.1	5.12
Pienas, 2,5% riebumo (l)	0.77	0.78	0.79	0.78	0.79	0.78	0.79	0.78	0.79	0.78	0.78	0.78	0.72	0.72	0.73	0.72	0.73	0.72	0.71	0.72	0.7	0.7	0.73	0.76
Grietinė, 30% riebumo,  500 g	1.5	1.49	1.49	1.51	1.51	1.51	1.51	1.48	1.5	1.51	1.51	1.49	1.42	1.39	1.4	1.41	1.39	1.38	1.39	1.39	1.38	1.41	1.43	1.49
